epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.0025,1.54659,2.17394,1.82295,0.00249,0.10566,0.0013,0.00037,3.54443,inf,8.20998,0.000547118,0.000547118,0.000547118
2,139.297,1.65178,1.77685,1.90105,0.01473,0.0388,0.00706,0.00169,3.30124,5.1387,5.66238,0.00108095,0.00108095,0.00108095
3,213.175,1.69483,1.74322,1.93864,0.01292,0.05195,0.00637,0.00245,4.31377,7.18775,9.35491,0.00159278,0.00159278,0.00159278
4,265.422,1.62341,1.64912,1.8728,0.04482,0.09658,0.01623,0.00465,3.10902,5.77124,3.44115,0.00156798,0.00156798,0.00156798
5,325.731,1.58031,1.51803,1.8232,0.11792,0.14964,0.03683,0.0126,3.10582,14.9553,3.57333,0.00153497,0.00153497,0.00153497
6,388.556,1.53721,1.49504,1.79972,0.55701,0.50251,0.52159,0.25451,1.61896,1.53746,2.19165,0.00150197,0.00150197,0.00150197
7,449.857,1.5083,1.38709,1.75257,0.43373,0.58417,0.49139,0.22668,1.79017,1.78439,2.19581,0.00146896,0.00146896,0.00146896
8,523.919,1.44895,1.32849,1.72658,0.72434,0.5131,0.65679,0.33398,1.64968,1.55993,2.07704,0.00143595,0.00143595,0.00143595
9,610.262,1.45067,1.34037,1.71918,0.57139,0.56403,0.60096,0.34354,1.5207,1.34658,2.00737,0.00140295,0.00140295,0.00140295
10,670.559,1.40399,1.30744,1.69864,0.38862,0.60887,0.48818,0.2658,1.57969,1.50201,2.08058,0.00136994,0.00136994,0.00136994
11,738.704,1.37746,1.25228,1.66286,0.80649,0.60618,0.7417,0.40116,1.41996,1.22628,1.89763,0.00133693,0.00133693,0.00133693
12,813.238,1.38425,1.23036,1.64975,0.67428,0.74014,0.78022,0.44313,1.33654,1.1003,1.78326,0.00130393,0.00130393,0.00130393
13,862.829,1.33728,1.17304,1.63994,0.79355,0.73607,0.80915,0.47742,1.3361,0.97566,1.79435,0.00127092,0.00127092,0.00127092
14,894.168,1.3382,1.16676,1.6531,0.77387,0.71383,0.78838,0.44331,1.40893,1.02004,1.90099,0.00123791,0.00123791,0.00123791
15,927.792,1.32809,1.17992,1.62203,0.59078,0.45837,0.4754,0.24764,1.61019,1.48218,2.07179,0.00120491,0.00120491,0.00120491
16,961.409,1.32664,1.15078,1.61732,0.75223,0.58511,0.68579,0.35948,1.50111,1.18766,1.94548,0.0011719,0.0011719,0.0011719
17,1007.93,1.31416,1.12882,1.60243,0.73271,0.64648,0.72658,0.4167,1.39215,1.06303,1.80474,0.00113889,0.00113889,0.00113889
18,1054.66,1.3063,1.08299,1.61054,0.69207,0.78389,0.77728,0.43633,1.36158,0.9972,1.83055,0.00110589,0.00110589,0.00110589
19,1101.43,1.33665,1.10902,1.62379,0.72872,0.77433,0.80937,0.47629,1.29969,0.96902,1.7487,0.00107288,0.00107288,0.00107288
20,1143.06,1.29995,1.07865,1.59371,0.75174,0.67635,0.74911,0.4389,1.2821,1.00013,1.7242,0.00103987,0.00103987,0.00103987
21,1197.11,1.27552,1.06368,1.58407,0.62438,0.67779,0.71223,0.41007,1.35946,1.14059,1.8005,0.00100687,0.00100687,0.00100687
22,1236.35,1.27429,1.08011,1.59092,0.66535,0.68835,0.70219,0.41309,1.33576,1.07234,1.78619,0.000973861,0.000973861,0.000973861
23,1276.03,1.25516,1.02372,1.56898,0.76492,0.73464,0.8093,0.4711,1.34912,0.97734,1.80225,0.000940855,0.000940855,0.000940855
24,1321.13,1.23994,1.04202,1.56104,0.76823,0.78477,0.82699,0.49379,1.25339,0.89769,1.69818,0.000907848,0.000907848,0.000907848
25,1373.85,1.23747,1.02883,1.55442,0.79047,0.73623,0.80139,0.49639,1.29445,0.9442,1.74412,0.000874842,0.000874842,0.000874842
26,1409.84,1.22166,1.0303,1.54603,0.71194,0.72157,0.77653,0.45819,1.26698,0.9418,1.73689,0.000841835,0.000841835,0.000841835
